skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Caramel,Mustard Yellow Sweater + Brown Jeans,Matches caramel skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Casual
Honey,Tan Blouse + Brown Skirt,Matches honey skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Boho
Warm Brown,Emerald Green Sweater + Black Jeans,Matches warm brown skin tone with emerald green/black contrast.,Cool,"Blue, White, Pastels",Boho
Warm Brown,Mint Green Dress + White Heels,Matches warm brown skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Sporty
Deep Dark,Mint Green Dress + White Heels,Matches deep dark skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Elegant
Light,Emerald Green Top + Black Trousers,Matches light skin tone with emerald green/black contrast.,Deep,"Bold Colors, Navy",Formal
Porcelain,Black Jacket + Charcoal Pants,Matches porcelain skin tone with black/charcoal contrast.,Balanced,Neutral Palette,Casual
Fair,Silver Jacket + Burgundy Pants,Matches fair skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Party
Tan,Gray Top + Black Trousers,Matches tan skin tone with gray/black contrast.,Golden,"Deep Reds, Gold",Formal
Honey,Silver Coat + Burgundy Boots,Matches honey skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Formal
Dark,Tan Jacket + Brown Pants,Matches dark skin tone with tan/brown contrast.,Balanced,Neutral Palette,Streetwear
Porcelain,Beige Top + White Trousers,Matches porcelain skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Casual
Warm Brown,Silver Blouse + Burgundy Skirt,Matches warm brown skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Elegant
Beige,Black Blouse + Charcoal Skirt,Matches beige skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Boho
Fair,Mint Green Coat + White Boots,Matches fair skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Sporty
Tan,Red Dress + Black Heels,Matches tan skin tone with red/black contrast.,Balanced,Neutral Palette,Casual
Dark,Silver Top + Burgundy Trousers,Matches dark skin tone with silver/burgundy contrast.,Cool,"Blue, White, Pastels",Party
Fair,Emerald Green Blouse + Black Skirt,Matches fair skin tone with emerald green/black contrast.,Cool,"Blue, White, Pastels",Boho
Olive,Emerald Green Top + Black Trousers,Matches olive skin tone with emerald green/black contrast.,Deep,"Bold Colors, Navy",Boho
Tan,Tan Top + Brown Trousers,Matches tan skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Elegant
Warm Brown,White Dress + Light Blue Heels,Matches warm brown skin tone with white/light blue contrast.,Balanced,Neutral Palette,Business
Medium,Mint Green Blouse + White Skirt,Matches medium skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Business
Fair,Light Brown Jacket + Navy Pants,Matches fair skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Sporty
Fair,Light Brown Top + Navy Trousers,Matches fair skin tone with light brown/navy contrast.,Deep,"Bold Colors, Navy",Streetwear
Olive,Olive Green Top + Cream Trousers,Matches olive skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Streetwear
Olive,Beige Sweater + White Jeans,Matches olive skin tone with beige/white contrast.,Warm,"Earth Tones, Mustard",Formal
Ebony,Navy Blue Jacket + Beige Pants,Matches ebony skin tone with navy blue/beige contrast.,Deep,"Bold Colors, Navy",Business
Light,White Dress + Light Blue Heels,Matches light skin tone with white/light blue contrast.,Golden,"Deep Reds, Gold",Formal
Porcelain,Tan Coat + Brown Boots,Matches porcelain skin tone with tan/brown contrast.,Deep,"Bold Colors, Navy",Party
Warm Brown,Royal Blue Top + Silver Trousers,Matches warm brown skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Elegant
Dark,Light Brown Top + Navy Trousers,Matches dark skin tone with light brown/navy contrast.,Deep,"Bold Colors, Navy",Party
Caramel,Charcoal Jacket + Black Pants,Matches caramel skin tone with charcoal/black contrast.,Cool,"Blue, White, Pastels",Formal
Light,Burgundy Dress + Black Heels,Matches light skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Streetwear
Porcelain,Red Sweater + Black Jeans,Matches porcelain skin tone with red/black contrast.,Cool,"Blue, White, Pastels",Party
Porcelain,Gold Jacket + Dark Blue Pants,Matches porcelain skin tone with gold/dark blue contrast.,Warm,"Earth Tones, Mustard",Boho
Caramel,Mustard Yellow Jacket + Brown Pants,Matches caramel skin tone with mustard yellow/brown contrast.,Cool,"Blue, White, Pastels",Sporty
Caramel,Burgundy Jacket + Black Pants,Matches caramel skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Boho
Warm Brown,Light Blue Dress + Tan Heels,Matches warm brown skin tone with light blue/tan contrast.,Warm,"Earth Tones, Mustard",Streetwear
Caramel,Deep Red Sweater + Gold Jeans,Matches caramel skin tone with deep red/gold contrast.,Cool,"Blue, White, Pastels",Boho
Medium,Mint Green Top + White Trousers,Matches medium skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Elegant
Warm Brown,White Jacket + Light Blue Pants,Matches warm brown skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Boho
Light,Mint Green Jacket + White Pants,Matches light skin tone with mint green/white contrast.,Cool,"Blue, White, Pastels",Formal
Deep Dark,Tan Sweater + Brown Jeans,Matches deep dark skin tone with tan/brown contrast.,Warm,"Earth Tones, Mustard",Formal
Deep Dark,Olive Green Sweater + Khaki Jeans,Matches deep dark skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Formal
Beige,Charcoal Coat + Black Boots,Matches beige skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Business
Honey,Soft Gray Sweater + Charcoal Jeans,Matches honey skin tone with soft gray/charcoal contrast.,Golden,"Deep Reds, Gold",Business
Deep Dark,Burgundy Top + Black Trousers,Matches deep dark skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Formal
Caramel,White Top + Light Blue Trousers,Matches caramel skin tone with white/light blue contrast.,Balanced,Neutral Palette,Business
Warm Brown,Peach Sweater + Olive Jeans,Matches warm brown skin tone with peach/olive contrast.,Balanced,Neutral Palette,Streetwear
Ebony,Peach Dress + Olive Heels,Matches ebony skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Elegant
Ebony,Light Blue Jacket + Tan Pants,Matches ebony skin tone with light blue/tan contrast.,Deep,"Bold Colors, Navy",Business
Caramel,Mustard Yellow Top + Brown Trousers,Matches caramel skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Casual
Ebony,Burgundy Coat + Black Boots,Matches ebony skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Warm Brown,Burnt Orange Top + Beige Trousers,Matches warm brown skin tone with burnt orange/beige contrast.,Deep,"Bold Colors, Navy",Streetwear
Porcelain,Sky Blue Sweater + White Jeans,Matches porcelain skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Casual
Olive,Tan Top + Brown Trousers,Matches olive skin tone with tan/brown contrast.,Balanced,Neutral Palette,Casual
Dark,Black Top + Charcoal Trousers,Matches dark skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Formal
Light,White Jacket + Light Blue Pants,Matches light skin tone with white/light blue contrast.,Golden,"Deep Reds, Gold",Formal
Fair,Gray Jacket + Black Pants,Matches fair skin tone with gray/black contrast.,Golden,"Deep Reds, Gold",Sporty
Deep Tan,Burnt Orange Dress + Beige Heels,Matches deep tan skin tone with burnt orange/beige contrast.,Balanced,Neutral Palette,Streetwear
Dark,Olive Green Sweater + Cream Jeans,Matches dark skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Sporty
Honey,Royal Blue Blouse + Silver Skirt,Matches honey skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Formal
Light,Olive Green Jacket + Cream Pants,Matches light skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Casual
Tan,Black Top + Dark Denim Trousers,Matches tan skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Sporty
Beige,Gray Dress + Black Heels,Matches beige skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Elegant
Deep Tan,Gold Sweater + Dark Blue Jeans,Matches deep tan skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Formal
Ebony,Dark Green Blouse + Brown Skirt,Matches ebony skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Party
Light,Burnt Orange Blouse + Beige Skirt,Matches light skin tone with burnt orange/beige contrast.,Balanced,Neutral Palette,Party
Light,Soft Gray Jacket + Charcoal Pants,Matches light skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Boho
Caramel,Sky Blue Blouse + White Skirt,Matches caramel skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Casual
Caramel,Royal Blue Coat + Silver Boots,Matches caramel skin tone with royal blue/silver contrast.,Deep,"Bold Colors, Navy",Streetwear
Deep Tan,Olive Green Blouse + Khaki Skirt,Matches deep tan skin tone with olive green/khaki contrast.,Cool,"Blue, White, Pastels",Sporty
Olive,Soft Gray Top + Charcoal Trousers,Matches olive skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Sporty
Deep Tan,Black Blouse + Charcoal Skirt,Matches deep tan skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Sporty
Light,Mint Green Sweater + White Jeans,Matches light skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Boho
Caramel,Mint Green Dress + White Heels,Matches caramel skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Casual
Medium,Deep Red Dress + Gold Heels,Matches medium skin tone with deep red/gold contrast.,Golden,"Deep Reds, Gold",Formal
Light,Black Top + Charcoal Trousers,Matches light skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Sporty
Light,Black Top + Dark Denim Trousers,Matches light skin tone with black/dark denim contrast.,Cool,"Blue, White, Pastels",Party
Tan,Burgundy Coat + Black Boots,Matches tan skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Casual
Dark,Black Jacket + Dark Denim Pants,Matches dark skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Sporty
Olive,Tan Coat + Brown Boots,Matches olive skin tone with tan/brown contrast.,Deep,"Bold Colors, Navy",Business
Warm Brown,Red Sweater + Black Jeans,Matches warm brown skin tone with red/black contrast.,Deep,"Bold Colors, Navy",Party
Light,Soft Gray Jacket + Charcoal Pants,Matches light skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Elegant
Deep Tan,Mint Green Jacket + White Pants,Matches deep tan skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Casual
Tan,Mustard Yellow Dress + Brown Heels,Matches tan skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Business
Fair,Black Blouse + Dark Denim Skirt,Matches fair skin tone with black/dark denim contrast.,Balanced,Neutral Palette,Casual
Beige,Charcoal Jacket + Black Pants,Matches beige skin tone with charcoal/black contrast.,Cool,"Blue, White, Pastels",Formal
Medium,Black Coat + Charcoal Boots,Matches medium skin tone with black/charcoal contrast.,Balanced,Neutral Palette,Party
Caramel,Burgundy Top + Black Trousers,Matches caramel skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Party
Light,Mustard Yellow Coat + Brown Boots,Matches light skin tone with mustard yellow/brown contrast.,Cool,"Blue, White, Pastels",Business
Deep Tan,Light Brown Coat + Navy Boots,Matches deep tan skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Party
Warm Brown,Beige Top + White Trousers,Matches warm brown skin tone with beige/white contrast.,Warm,"Earth Tones, Mustard",Sporty
Light,Red Coat + Black Boots,Matches light skin tone with red/black contrast.,Golden,"Deep Reds, Gold",Business
Warm Brown,Tan Top + Brown Trousers,Matches warm brown skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Business
Caramel,Light Blue Dress + Tan Heels,Matches caramel skin tone with light blue/tan contrast.,Warm,"Earth Tones, Mustard",Sporty
Ebony,Mint Green Dress + White Heels,Matches ebony skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Business
Honey,Black Jacket + Charcoal Pants,Matches honey skin tone with black/charcoal contrast.,Golden,"Deep Reds, Gold",Business
Caramel,Burgundy Top + Black Trousers,Matches caramel skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Elegant
Beige,Light Blue Jacket + Tan Pants,Matches beige skin tone with light blue/tan contrast.,Golden,"Deep Reds, Gold",Formal
Fair,Black Coat + Charcoal Boots,Matches fair skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Business
Caramel,Emerald Green Dress + Black Heels,Matches caramel skin tone with emerald green/black contrast.,Deep,"Bold Colors, Navy",Formal
Light,Gray Coat + Black Boots,Matches light skin tone with gray/black contrast.,Balanced,Neutral Palette,Streetwear
Medium,White Sweater + Light Blue Jeans,Matches medium skin tone with white/light blue contrast.,Balanced,Neutral Palette,Party
Tan,Tan Dress + Brown Heels,Matches tan skin tone with tan/brown contrast.,Balanced,Neutral Palette,Casual
Medium,Deep Red Blouse + Gold Skirt,Matches medium skin tone with deep red/gold contrast.,Balanced,Neutral Palette,Party
Deep Tan,Navy Blue Dress + Beige Heels,Matches deep tan skin tone with navy blue/beige contrast.,Golden,"Deep Reds, Gold",Formal
Deep Dark,Soft Gray Sweater + Charcoal Jeans,Matches deep dark skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Boho
Medium,Peach Sweater + Olive Jeans,Matches medium skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Sporty
Dark,Mint Green Top + White Trousers,Matches dark skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Elegant
Dark,Light Brown Sweater + Navy Jeans,Matches dark skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Boho
Beige,Dark Green Top + Brown Trousers,Matches beige skin tone with dark green/brown contrast.,Cool,"Blue, White, Pastels",Sporty
Dark,Light Brown Top + Navy Trousers,Matches dark skin tone with light brown/navy contrast.,Golden,"Deep Reds, Gold",Boho
Fair,Charcoal Jacket + Black Pants,Matches fair skin tone with charcoal/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Caramel,Mustard Yellow Dress + Brown Heels,Matches caramel skin tone with mustard yellow/brown contrast.,Balanced,Neutral Palette,Formal
Deep Tan,Light Brown Jacket + Navy Pants,Matches deep tan skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Boho
Honey,Peach Dress + Olive Heels,Matches honey skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Formal
Deep Dark,Light Blue Coat + Tan Boots,Matches deep dark skin tone with light blue/tan contrast.,Deep,"Bold Colors, Navy",Boho
Light,Black Sweater + Dark Denim Jeans,Matches light skin tone with black/dark denim contrast.,Cool,"Blue, White, Pastels",Boho
Olive,Burgundy Jacket + Black Pants,Matches olive skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Deep Tan,Royal Blue Sweater + Silver Jeans,Matches deep tan skin tone with royal blue/silver contrast.,Deep,"Bold Colors, Navy",Sporty
Tan,Charcoal Dress + Black Heels,Matches tan skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Formal
Caramel,Tan Dress + Brown Heels,Matches caramel skin tone with tan/brown contrast.,Balanced,Neutral Palette,Party
Ebony,Mint Green Coat + White Boots,Matches ebony skin tone with mint green/white contrast.,Cool,"Blue, White, Pastels",Party
Fair,Burnt Orange Coat + Beige Boots,Matches fair skin tone with burnt orange/beige contrast.,Warm,"Earth Tones, Mustard",Elegant
Tan,Charcoal Jacket + Black Pants,Matches tan skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Formal
Porcelain,Mint Green Coat + White Boots,Matches porcelain skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Sporty
Fair,Peach Top + Olive Trousers,Matches fair skin tone with peach/olive contrast.,Warm,"Earth Tones, Mustard",Sporty
Tan,Mint Green Top + White Trousers,Matches tan skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Party
Porcelain,Burnt Orange Sweater + Beige Jeans,Matches porcelain skin tone with burnt orange/beige contrast.,Cool,"Blue, White, Pastels",Elegant
Caramel,Burgundy Sweater + Black Jeans,Matches caramel skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Casual
